NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_PROVA,TP_SEXO_DESC,TP_COR_RACA_DESC,TP_ESCOLA_DESC,Q006,Q006_RENDA_DESC,GRUPO_RENDA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_GERAL
210059919254,2023,Curitiba,Masculino,Branca,Privada,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),518.6,534.8,513.6,675.8,860.0,620.56
210059535731,2023,Curitiba,Masculino,Preta,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),395.5,364.5,428.8,420.1,440.0,409.78
210058806969,2023,Curitiba,Feminino,Branca,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),503.4,577.5,512.5,514.4,660.0,553.56
210060043174,2023,Curitiba,Masculino,Branca,Não informado (Egresso),P,P - De 15 a 20 SM,Alta Renda (Acima de R$ 6.060),655.3,646.6,614.3,666.1,800.0,676.46
210059604065,2023,Curitiba,Feminino,Branca,Não informado (Egresso),K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),601.6,621.6,546.8,738.6,620.0,625.72
210059658223,2023,Curitiba,Feminino,Branca,Pública,H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),503.5,537.5,539.8,635.0,620.0,567.16
210061090675,2023,Curitiba,Feminino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),349.3,456.5,450.9,334.2,520.0,422.18
210058761519,2023,Curitiba,Masculino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),420.8,469.1,438.2,407.6,520.0,451.14
210058762980,2023,Curitiba,Feminino,Branca,Não informado (Egresso),J,J - De 6 a 7 SM,Alta Renda (Acima de R$ 6.060),535.4,580.9,588.0,614.2,640.0,591.7
210059537688,2023,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),440.2,548.3,518.4,425.6,440.0,474.5
210061238843,2023,Curitiba,Feminino,Branca,Privada,Q,Q - Mais de 20 SM,Alta Renda (Acima de R$ 6.060),515.7,511.3,566.3,591.1,720.0,580.88
210058726637,2023,Curitiba,Masculino,Branca,Pública,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),535.3,493.3,538.4,536.6,820.0,584.72
210058769367,2023,Curitiba,Feminino,Parda,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),419.4,448.9,443.8,424.3,480.0,443.28
210061090685,2023,Curitiba,Feminino,Parda,Não informado (Egresso),A,A - Nenhuma Renda,Baixa Renda (Até R$ 2.424),490.7,569.7,520.0,529.6,480.0,518.0
210059837024,2023,Curitiba,Masculino,Branca,Privada,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),519.4,592.8,565.3,589.1,540.0,561.32
210059370894,2023,Curitiba,Masculino,Preta,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),365.7,533.0,480.5,457.4,360.0,439.32
210058748990,2023,Curitiba,Masculino,Branca,Pública,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),543.0,636.8,602.1,748.6,720.0,650.1
210058763013,2023,Curitiba,Masculino,Branca,Privada,Q,Q - Mais de 20 SM,Alta Renda (Acima de R$ 6.060),482.3,480.0,483.6,642.4,560.0,529.66
210058081299,2023,Curitiba,Feminino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),482.6,559.7,536.4,596.1,760.0,586.96
210059348076,2023,Curitiba,Feminino,Não declarado,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),477.8,432.1,467.0,431.2,280.0,417.62
210061238972,2023,Curitiba,Masculino,Branca,Privada,K,K - De 7 a 8 SM,Alta Renda (Acima de R$ 6.060),604.4,640.4,616.5,799.4,740.0,680.14
210059686286,2023,Curitiba,Masculino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),604.4,677.2,651.4,586.5,680.0,639.9
210061239084,2023,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),419.0,575.9,579.7,443.7,580.0,519.66
210061070912,2023,Curitiba,Masculino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),517.5,561.1,542.5,399.0,520.0,508.02
210059725444,2023,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),530.7,583.3,577.2,564.5,620.0,575.14
210058677864,2023,Curitiba,Feminino,Não declarado,Pública,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),519.9,526.8,562.5,520.2,600.0,545.88
210058672348,2023,Curitiba,Masculino,Branca,Pública,I,I - De 5 a 6 SM,Alta Renda (Acima de R$ 6.060),392.9,474.3,414.6,376.8,300.0,391.72
210059740416,2023,Curitiba,Masculino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),517.9,636.2,587.8,621.7,540.0,580.72
210061300577,2023,Curitiba,Feminino,Parda,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),449.8,470.8,485.7,477.2,660.0,508.7
210060164041,2023,Curitiba,Masculino,Parda,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),568.0,532.2,485.9,524.6,440.0,510.14
210059781610,2023,Curitiba,Masculino,Parda,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),540.1,402.2,486.8,593.9,560.0,516.6
210058740815,2023,Curitiba,Feminino,Branca,Pública,I,I - De 5 a 6 SM,Alta Renda (Acima de R$ 6.060),555.6,550.8,558.0,650.3,700.0,602.94
210058746298,2023,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),449.6,488.9,478.8,512.0,480.0,481.86
210058771787,2023,Curitiba,Feminino,Branca,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),499.1,474.2,516.7,535.5,800.0,565.1
210059753530,2023,Curitiba,Masculino,Branca,Não informado (Egresso),E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),653.2,679.2,594.5,709.0,620.0,651.18
210060164046,2023,Curitiba,Masculino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),514.0,622.7,569.3,653.2,600.0,591.84
210058693584,2023,Curitiba,Masculino,Branca,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),646.8,672.6,589.2,793.9,600.0,660.5
210058779678,2023,Curitiba,Feminino,Preta,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),481.7,609.2,619.5,486.0,540.0,547.28
210061351306,2023,Curitiba,Masculino,Branca,Não informado (Egresso),L,L - De 8 a 9 SM,Alta Renda (Acima de R$ 6.060),445.5,365.0,379.1,628.2,580.0,479.56
210060513290,2023,Curitiba,Masculino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),519.2,438.3,414.7,616.5,500.0,497.74
210059143640,2023,Curitiba,Masculino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),575.9,556.3,521.4,515.2,0.0,433.76
210060513315,2023,Curitiba,Masculino,Branca,Privada,Q,Q - Mais de 20 SM,Alta Renda (Acima de R$ 6.060),583.9,587.0,559.8,636.8,760.0,625.5
210059928277,2023,Curitiba,Masculino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),449.3,567.7,556.8,493.4,680.0,549.44
210060602714,2023,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),426.1,431.7,471.2,440.0,560.0,465.8
210061220046,2023,Curitiba,Masculino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),391.7,483.7,467.6,526.9,520.0,477.98
210059941362,2023,Curitiba,Masculino,Amarela,Pública,I,I - De 5 a 6 SM,Alta Renda (Acima de R$ 6.060),555.8,536.4,552.6,717.6,0.0,472.48
210059143648,2023,Curitiba,Masculino,Branca,Privada,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),523.5,522.1,480.8,481.3,660.0,533.54
210060513324,2023,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),505.1,491.6,567.7,559.3,0.0,424.74
210058292881,2023,Curitiba,Feminino,Branca,Não informado (Egresso),F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),463.5,494.8,533.3,652.7,400.0,508.86
210058147486,2023,Curitiba,Masculino,Preta,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),490.5,469.7,522.5,431.8,660.0,514.9
210060958294,2023,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),447.8,461.3,546.3,401.4,440.0,459.36
210061465168,2023,Curitiba,Feminino,Parda,Pública,J,J - De 6 a 7 SM,Alta Renda (Acima de R$ 6.060),434.1,524.2,502.8,504.8,600.0,513.18
210060779230,2023,Curitiba,Feminino,Branca,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),426.1,568.3,500.8,530.4,720.0,549.12
210061412935,2023,Curitiba,Feminino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),399.8,466.3,405.5,424.7,540.0,447.26
210060657626,2023,Curitiba,Masculino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),569.0,507.5,512.2,594.6,920.0,620.66
210060907687,2023,Curitiba,Masculino,Parda,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),489.0,507.6,536.4,677.2,620.0,566.04
210060583103,2023,Curitiba,Masculino,Branca,Não informado (Egresso),I,I - De 5 a 6 SM,Alta Renda (Acima de R$ 6.060),619.8,765.1,687.4,809.8,860.0,748.42
210061331674,2023,Curitiba,Feminino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),559.5,550.2,546.6,583.1,500.0,547.88
210060876756,2023,Curitiba,Feminino,Branca,Pública,A,A - Nenhuma Renda,Baixa Renda (Até R$ 2.424),506.4,464.5,514.2,332.4,400.0,443.5
210060643207,2023,Curitiba,Masculino,Preta,Privada,L,L - De 8 a 9 SM,Alta Renda (Acima de R$ 6.060),530.8,570.4,572.7,473.1,700.0,569.4
210058961255,2023,Curitiba,Masculino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),459.3,470.7,477.0,505.0,320.0,446.4
210059143581,2023,Curitiba,Masculino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),523.6,618.6,576.1,582.9,580.0,576.24
210060622287,2023,Curitiba,Feminino,Branca,Não informado (Egresso),H,H - De 4 a 5 SM,Média Renda (R$ 2.424 a R$ 6.060),542.8,606.7,548.8,410.7,620.0,545.8
210060622288,2023,Curitiba,Masculino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),546.4,595.9,527.6,654.9,460.0,556.96
210058189258,2023,Curitiba,Masculino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),681.4,700.8,660.5,765.1,660.0,693.56
210060845882,2023,Curitiba,Masculino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),579.1,654.5,615.3,728.7,520.0,619.52
210061331690,2023,Curitiba,Feminino,Branca,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),351.0,462.4,431.6,363.8,0.0,321.76
210061402981,2023,Curitiba,Masculino,Branca,Não informado (Egresso),O,O - De 12 a 15 SM,Alta Renda (Acima de R$ 6.060),668.4,696.2,663.4,770.2,760.0,711.64
210061464812,2023,Curitiba,Feminino,Preta,Pública,E,"E - De 2 a 2,5 SM",Média Renda (R$ 2.424 a R$ 6.060),486.8,465.6,526.4,507.8,0.0,397.32
210061341505,2023,Curitiba,Feminino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),466.6,504.2,501.2,330.0,460.0,452.4
210058147462,2023,Curitiba,Feminino,Parda,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),459.8,521.3,455.0,447.1,280.0,432.64
210061331741,2023,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),359.1,502.1,469.8,545.1,640.0,503.22
210061331662,2023,Curitiba,Masculino,Branca,Pública,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),504.2,507.0,469.3,417.9,600.0,499.68
210059147749,2023,Curitiba,Feminino,Branca,Pública,F,"F - De 2,5 a 3 SM",Média Renda (R$ 2.424 a R$ 6.060),482.5,440.8,494.7,358.3,360.0,427.26
210058210196,2023,Curitiba,Feminino,Branca,Não informado (Egresso),C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),538.2,530.9,544.5,542.3,500.0,531.18
210061464671,2023,Curitiba,Masculino,Branca,Não informado (Egresso),N,N - De 10 a 12 SM,Alta Renda (Acima de R$ 6.060),427.2,563.0,468.0,557.6,360.0,475.16
210060657567,2023,Curitiba,Masculino,Branca,Não informado (Egresso),D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),492.7,564.0,500.8,384.1,420.0,472.32
210059135991,2023,Curitiba,Feminino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),396.5,370.5,433.2,347.3,500.0,409.5
210059941308,2023,Curitiba,Feminino,Parda,Não informado (Egresso),J,J - De 6 a 7 SM,Alta Renda (Acima de R$ 6.060),523.5,591.5,539.8,537.4,600.0,558.44
210060815091,2023,Curitiba,Feminino,Branca,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),593.6,542.1,532.2,475.9,560.0,540.76
210059188862,2023,Curitiba,Feminino,Branca,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),487.0,491.6,478.7,460.0,620.0,507.46
210060629861,2023,Curitiba,Feminino,Branca,Não informado (Egresso),G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),633.2,722.7,673.2,759.7,960.0,749.76
210061403072,2023,Curitiba,Feminino,Parda,Pública,D,"D - De 1,5 a 2 SM",Baixa Renda (Até R$ 2.424),482.4,544.7,452.1,416.5,480.0,475.14
210059843776,2023,Curitiba,Masculino,Branca,Pública,B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),474.0,489.0,538.7,480.7,0.0,396.48
210059817595,2023,Curitiba,Masculino,Parda,Não informado (Egresso),B,B - Até 1 SM,Baixa Renda (Até R$ 2.424),433.4,389.7,516.8,352.5,320.0,402.48
210061403322,2023,Curitiba,Feminino,Branca,Pública,C,"C - De 1 a 1,5 SM",Baixa Renda (Até R$ 2.424),521.3,499.4,564.3,518.3,580.0,536.66
210060748494,2023,Curitiba,Feminino,Parda,Pública,G,G - De 3 a 4 SM,Média Renda (R$ 2.424 a R$ 6.060),505.7,430.9,470.0,432.2,560.0,479.76
